id,question_en,answer_vi,answer_en,category,search_keyword,detail meaning
421,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
422,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
423,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
424,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
425,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
426,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
427,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
428,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
429,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
430,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
431,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
432,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
433,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
434,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
435,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
436,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
437,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
438,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
439,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
440,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
441,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
442,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
443,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
444,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
445,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
446,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
447,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
448,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
449,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
450,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
451,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
452,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
453,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
454,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
455,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
456,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
457,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
458,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
459,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
460,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
461,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
462,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
463,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
464,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
465,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
466,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
467,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
468,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
469,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
470,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
471,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
472,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
473,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
474,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
475,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
476,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
477,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
478,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
479,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
480,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
481,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
482,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
483,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
484,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
485,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
486,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
487,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
488,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
489,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
490,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
491,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
492,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
493,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
494,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
495,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
496,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
497,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
498,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
499,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
500,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
501,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
502,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
503,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
504,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
505,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
506,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
507,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
508,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
509,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
510,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
511,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
512,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
513,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
514,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
515,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
516,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
517,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
518,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
519,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
520,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
521,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
522,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
523,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
524,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
525,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
526,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
527,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
528,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
529,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
530,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
531,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
532,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
533,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
534,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
535,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
536,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
537,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
538,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
539,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
540,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
541,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
542,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
543,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
544,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
545,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
546,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
547,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
548,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
549,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
550,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
551,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
552,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
553,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
554,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
555,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
556,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
557,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
558,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
559,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
560,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
